Location,Median Annual Household Income
United States,"$56,516 "
Alabama,"$44,509 "
Alaska,"$75,112 "
Arizona,"$52,248 "
Arkansas,"$42,798 "
California,"$63,636 "
Colorado,"$66,596 "
Connecticut,"$72,889 "
Delaware,"$57,756 "
District of Columbia,"$70,071 "
Florida,"$48,825 "
Georgia,"$50,768 "
Hawaii,"$64,514 "
Idaho,"$51,624 "
Illinois,"$60,413 "
Indiana,"$51,983 "
Iowa,"$60,855 "
Kansas,"$54,865 "
Kentucky,"$42,387 "
Louisiana,"$45,922 "
Maine,"$50,756 "
Maryland,"$73,594 "
Massachusetts,"$67,861 "
Michigan,"$54,203 "
Minnesota,"$68,730 "
Mississippi,"$40,037 "
Missouri,"$59,196 "
Montana,"$51,395 "
Nebraska,"$60,474 "
Nevada,"$52,008 "
New Hampshire,"$75,675 "
New Jersey,"$68,357 "
New Mexico,"$45,119 "
New York,"$58,005 "
North Carolina,"$50,797 "
North Dakota,"$57,415 "
Ohio,"$53,301 "
Oklahoma,"$47,077 "
Oregon,"$60,834 "
Pennsylvania,"$60,389 "
Rhode Island,"$55,701 "
South Carolina,"$46,360 "
South Dakota,"$55,065 "
Tennessee,"$47,330 "
Texas,"$56,473 "
Utah,"$66,258 "
Vermont,"$59,494 "
Virginia,"$61,486 "
Washington,"$67,243 "
West Virginia,"$42,824 "
Wisconsin,"$55,425 "
Wyoming,"$60,925 "
