State,CountyName
NY,Queens
CA,Los Angeles
IL,Cook
PA,Philadelphia
AZ,Maricopa
NV,Clark
CA,San Diego
TX,Dallas
CA,Santa Clara
FL,Duval
CA,San Francisco
TX,Travis
MI,Wayne
OH,Franklin
TN,Shelby
NC,Mecklenburg
TX,El Paso
MA,Suffolk
WA,King
MD,Baltimore City
CO,Denver
DC,District of Columbia
TN,Davidson
WI,Milwaukee
AZ,Pima
OR,Multnomah
NM,Bernalillo
CA,Fresno
CA,Sacramento
AZ,Maricopa
CA,Los Angeles
MO,Jackson
VA,Virginia Beach City
CO,El Paso
GA,Fulton
FL,Miami-Dade
CA,Alameda
OK,Tulsa
OH,Cuyahoga
HI,Honolulu
MN,Hennepin
LA,East Baton Rouge
LA,Orleans
TX,Tarrant
NC,Wake
KS,Sedgwick
FL,Hillsborough
CA,Orange
CA,Orange
CO,Arapahoe
MO,Saint Louis City
OH,Hamilton
PA,Allegheny
CA,Riverside
GA,Cobb
AK,Anchorage
CA,Kern
MN,Ramsey
OH,Lucas
MD,Montgomery
KY,Fayette
FL,Leon
CA,San Joaquin
TX,Collin
AZ,Maricopa
NV,Clark
CA,Stanislaus
AL,Mobile
NJ,Hudson
TX,Lubbock
AZ,Maricopa
NC,Durham
FL,Orange
VA,Norfolk City
FL,Pinellas
FL,Escambia
IN,Allen
NC,Guilford
NE,Lancaster
CA,San Bernardino
CA,Riverside
CA,San Diego
VA,Chesapeake City
FL,Miami-Dade
WI,Dane
CA,San Bernardino
FL,Lee
TN,Knox
TX,Webb
NV,Clark
GA,Gwinnett
CA,Alameda
NC,Cumberland
MO,Greene
VA,Arlington
TX,Dallas
AZ,Maricopa
AZ,Maricopa
NC,Forsyth
CA,Orange
VA,Richmond City
FL,Palm Beach
CA,Ventura
FL,Manatee
CA,Sonoma
NV,Washoe
WA,Spokane
GA,Richmond
WA,Pierce
MI,Kent
CA,San Diego
FL,Alachua
VA,Prince William
FL,Marion
CA,Los Angeles
ID,Ada
SC,Greenville
AL,Jefferson
UT,Salt Lake
CA,Orange
OH,Summit
IL,Winnebago
CA,Monterey
MA,Worcester
CA,Riverside
FL,Saint Lucie
TX,Cameron
RI,Providence
TX,Potter
CA,Los Angeles
CO,Larimer
LA,Caddo
IN,Vanderburgh
NY,Westchester
CA,Alameda
FL,Broward
TN,Hamilton
GA,Muscogee
IL,Kane
CA,San Bernardino
MS,Hinds
TX,Dallas
CA,San Bernardino
KS,Johnson
VA,Newport News City
CA,Orange
TX,Bell
VA,Roanoke City
AZ,Maricopa
WA,Clark
AL,Madison
CA,San Diego
CA,Los Angeles
KS,Shawnee
CA,Sacramento
CO,Pueblo
VA,Spotsylvania
FL,Lee
MA,Hampden
FL,Broward
TN,Rutherford
TN,Montgomery
IL,Du Page
AZ,Maricopa
VA,Fairfax
CA,Los Angeles
CA,Los Angeles
KS,Wyandotte
FL,Palm Beach
NY,Onondaga
OR,Marion
FL,Broward
NJ,Passaic
CO,Jefferson
VA,Alexandria City
AZ,Yuma
CA,Santa Clara
CA,Tulare
NM,Dona Ana
TX,Harris
CT,Fairfield
OR,Lane
CA,San Diego
TX,Midland
DE,New Castle
TX,Williamson
VA,Hampton City
CA,Los Angeles
CA,Los Angeles
SC,Richland
TX,Dallas
CA,Orange
MI,Macomb
TX,Collin
UT,Salt Lake
WA,King
OH,Stark
LA,Jefferson
CA,Santa Barbara
CA,Los Angeles
CA,Orange
CT,New Haven
GA,Forsyth
MI,Genesee
CA,Los Angeles
TX,Hidalgo
WA,King
MI,Saginaw
IN,Monroe
KS,Johnson
FL,Broward
AZ,Maricopa
FL,Broward
CA,Los Angeles
OH,Butler
CT,Hartford
CT,Fairfield
GA,Chatham
CA,Ventura
CA,Contra Costa
MI,Macomb
TX,Collin
IL,Will
TX,Denton
MT,Yellowstone
PA,Lehigh
NM,Santa Fe
CA,Solano
MO,Jackson
CA,Santa Clara
NC,Wake
TX,Harris
AZ,Maricopa
CA,Alameda
CA,Riverside
OK,Cleveland
VA,Fairfax
IL,Sangamon
LA,Calcasieu
CA,Los Angeles
CO,Adams
MD,Frederick
CO,Adams
MI,Ingham
CA,San Bernardino
CT,New Haven
FL,Pasco
CA,Riverside
FL,Miami-Dade
CA,Orange
GA,Clarke
NH,Hillsborough
CA,San Diego
MN,Olmsted
CA,San Joaquin
CA,Ventura
CA,Riverside
IL,Peoria
CA,Butte
MI,Washtenaw
MA,Middlesex
GA,Hall
CA,Fresno
MA,Middlesex
NV,Washoe
CA,Placer
CA,Los Angeles
CA,Shasta
CA,Los Angeles
CA,Los Angeles
UT,Salt Lake
ID,Canyon
WA,Snohomish
OK,Tulsa
UT,Utah
SC,Spartanburg
OR,Deschutes
FL,Brevard
AL,Tuscaloosa
FL,Pinellas
VA,Fairfax
NC,New Hanover
FL,Broward
CA,San Bernardino
CO,Mesa
SC,York
GA,Dekalb
ND,Cass
NJ,Middlesex
CA,Los Angeles
CA,San Diego
CA,Solano
TX,Denton
OR,Washington
FL,Saint Johns
FL,Palm Beach
MO,Boone
