CountyState,Average,RegionID
"Queens,  NY",626600,6181
"Los Angeles, CA",765400,12447
"Cook, IL",323800,17426
"Philadelphia, PA",183200,13271
"Maricopa, AZ",291700,40326
"Clark, NV",329400,18959
"San Diego, CA",713900,54296
"Dallas, TX",160300,38128
"Santa Clara, CA",1070400,33839
"Duval, FL",222900,25290
"San Francisco, CA",1409300,20330
"Travis, TX",307000,10221
"Wayne, MI",37600,17762
"Franklin, OH",209900,10920
"Shelby, TN",139800,32811
"Mecklenburg, NC",272700,24043
"El Paso, TX",180900,17933
"Suffolk, MA",650400,44269
"King, WA",773500,16037
"Baltimore City, MD",118300,3523
"Denver, CO",467700,11093
"District of Columbia, DC",535000,41568
"Davidson, TN",301000,6118
"Milwaukee, WI",171200,5976
"Pima, AZ",251500,7481
"Multnomah, OR",527300,13373
"Bernalillo, NM",298800,23429
"Fresno, CA",293800,18203
"Sacramento, CA",389100,20288
"Maricopa, AZ",313900,19331
"Los Angeles, CA",690800,46298
"Jackson, MO",201000,18795
"Virginia Beach City, VA",363300,41515
"El Paso, CO",366700,4172
"Fulton, GA",295000,37211
"Miami-Dade, FL",399200,12700
"Alameda, CA",799100,13072
"Tulsa, OK",170800,20859
"Cuyahoga, OH",110700,24115
"Honolulu, HI",959500,18615
"Hennepin, MN",310100,5983
"East Baton Rouge, LA",153500,44055
"Orleans, LA",173100,19594
"Tarrant, TX",171600,50763
"Wake, NC",342400,54047
"Sedgwick, KS",184700,7929
"Hillsborough, FL",237800,41176
"Orange, CA",720400,16764
"Orange, CA",629300,47568
"Arapahoe, CO",383700,16846
"Saint Louis City, MO",161800,6891
"Hamilton, OH",199300,4099
"Allegheny, PA",172500,26529
"Riverside, CA",441000,47401
"Cobb, GA",377600,12562
"Anchorage, AK",290800,23482
"Kern, CA",313300,3506
"Ramsey, MN",264200,20313
"Lucas, OH",113100,34303
"Montgomery, MD",546900,7081
"Fayette, KY",253900,25574
"Leon, FL",258800,47945
"San Joaquin, CA",348400,7266
"Collin, TX",316700,53915
"Maricopa, AZ",396700,17384
"Clark, NV",411100,11867
"Stanislaus, CA",353800,25934
"Mobile, AL",175100,32900
"Hudson, NJ",434800,25320
"Lubbock, TX",117900,53060
"Maricopa, AZ",303000,18298
"Durham, NC",263100,24457
"Orange, FL",233300,13121
"Norfolk City, VA",251700,6210
"Pinellas, FL",232200,26922
"Escambia, FL",201000,53856
"Allen, IN",162500,18170
"Guilford, NC",215700,11722
"Lancaster, NE",241100,32503
"San Bernardino, CA",321600,20328
"Riverside, CA",582300,24225
"San Diego, CA",645100,51405
"Chesapeake City, VA",359500,44564
"Miami-Dade, FL",302900,25104
"Dane, WI",222000,398849
"San Bernardino, CA",449400,24741
"Lee, FL",295400,31614
"Knox, TN",193100,25428
"Webb, TX",181600,52893
"Clark, NV",316200,26187
"Gwinnett, GA",301000,5573
"Alameda, CA",1131700,11540
"Cumberland, NC",198500,52001
"Greene, MO",188900,7222
"Arlington, VA",825800,30258
"Dallas, TX",178000,12065
"Maricopa, AZ",418200,4888
"Maricopa, AZ",593900,54346
"Forsyth, NC",203400,41760
"Orange, CA",1023200,52650
"Richmond City, VA",233700,6752
"Palm Beach, FL",451900,10477
"Ventura, CA",603900,13150
"Manatee, FL",315900,44282
"Sonoma, CA",696300,26967
"Washoe, NV",456200,13478
"Spokane, WA",253000,20604
"Richmond, GA",141600,10210
"Pierce, WA",334200,27362
"Kent, MI",191800,11671
"San Diego, CA",611000,6285
"Alachua, FL",237400,24821
"Prince William, VA",424000,14701
"Marion, FL",182500,53673
"Los Angeles, CA",955400,45457
"Ada, ID",315400,3737
"Greenville, SC",236400,24960
"Jefferson, AL",108000,10417
"Salt Lake, UT",401400,6909
"Orange, CA",978300,25218
"Summit, OH",121300,30141
"Winnebago, IL",79900,47426
"Monterey, CA",588400,54288
"Worcester, MA",299200,14724
"Riverside, CA",387800,25981
"Saint Lucie, FL",275800,33501
"Cameron, TX",127400,51167
"Providence, RI",248800,26637
"Potter, TX",176500,16753
"Los Angeles, CA",327800,5534
"Larimer, CO",486000,4764
"Caddo, LA",98600,40897
"Vanderburgh, IN",171400,31471
"Westchester, NY",608100,34937
"Alameda, CA",721200,18518
"Broward, FL",374100,31606
"Hamilton, TN",189500,37837
"Muscogee, GA",152700,17539
"Kane, IL",163800,10215
"San Bernardino, CA",489000,13108
"Hinds, MS",104400,32179
"Dallas, TX",170400,31821
"San Bernardino, CA",608900,40492
"Johnson, KS",258100,40202
"Newport News City, VA",259200,26140
"Orange, CA",705600,24832
"Bell, TX",103000,5424
"Roanoke City, VA",223500,6792
"Maricopa, AZ",347900,47958
"Clark, WA",387900,48215
"Madison, AL",140400,12014
"San Diego, CA",618000,38333
"Los Angeles, CA",262400,40227
"Shawnee, KS",96800,41256
"Sacramento, CA",539100,17950
"Pueblo, CO",215900,47250
"Spotsylvania, VA",365000,11529
"Lee, FL",300100,30742
"Hampden, MA",206800,7221
"Broward, FL",376700,19892
"Rutherford, TN",288400,19523
"Montgomery, TN",220100,10843
"Du Page, IL",582700,39931
"Maricopa, AZ",360600,40298
"Fairfax, VA",709900,4655
"Los Angeles, CA",670800,54311
"Los Angeles, CA",485400,20008
"Wyandotte, KS",117500,39191
"Palm Beach, FL",329100,30559
"Onondaga, NY",140100,7353
"Marion, OR",336900,20317
"Broward, FL",313300,32060
"Passaic, NJ",308900,19873
"Jefferson, CO",482900,5519
"Alexandria City, VA",658500,10071
"Yuma, AZ",231700,28065
"Santa Clara, CA",1721100,54626
"Tulare, CA",318400,21114
"Dona Ana, NM",139000,25514
"Harris, TX",180500,19865
"Fairfield, CT",234600,3806
"Lane, OR",388300,38438
"San Diego, CA",596200,11337
"Midland, TX",265400,19360
"New Castle, DE",330100,6183
"Williamson, TX",239200,26857
"Hampton City, VA",234700,5052
"Los Angeles, CA",928500,47019
"Los Angeles, CA",991000,54722
"Richland, SC",206200,4174
"Dallas, TX",152200,12694
"Orange, CA",774000,24812
"Macomb, MI",206500,21159
"Collin, TX",288200,32783
"Salt Lake, UT",299300,48443
"King, WA",550800,13480
"Stark, OH",161700,51260
"Jefferson, LA",227000,5914
"Santa Barbara, CA",484400,47570
"Los Angeles, CA",591600,45888
"Orange, CA",828400,33252
"New Haven, CT",243000,6155
"Forsyth, GA",436900,44821
"Genesee, MI",52800,398007
"Los Angeles, CA",343300,24174
